date,prediction,ci_lower,ci_upper,actual
2023-07-03,18473.900077646107,0.0,51100.68145535176,252.0
2023-07-04,18927.62422881562,0.0,51154.435581300684,252.0
2023-07-05,19372.58233250092,0.0,53408.43804575254,252.0
2023-07-06,19803.69755504496,0.0,51366.0417604405,252.0
2023-07-07,19877.937061463635,0.0,52301.11402460517,252.0
2023-07-08,20258.50076561046,0.0,52250.765961070836,252.0
2023-07-09,20897.40708811349,0.0,54763.35785422644,0.0
2023-07-10,21238.0176242805,0.0,51698.86881405932,
2023-07-11,21545.371248270538,0.0,54441.87233526891,
2023-07-12,21816.75165646448,0.0,54395.40509189199,
2023-07-13,22050.041204445835,0.0,55524.80277986666,
2023-07-14,21905.57037854861,0.0,53896.3524883173,
2023-07-15,22050.221647759114,0.0,54034.349772606765,
2023-07-16,22439.923649321012,0.0,55020.019584283225,
2023-07-17,22522.080240350828,0.0,54717.378704888055,
2023-07-18,22565.80765747403,0.0,53673.32922944381,
2023-07-19,22572.40650741862,0.0,53010.50056318138,
2023-07-20,22543.62408644041,0.0,58646.539136829066,
2023-07-21,22143.418858453027,0.0,54923.718399638485,
2023-07-22,22041.988099473983,0.0,53413.43886677348,
2023-07-23,22198.19663105229,0.0,56641.01807738528,
2023-07-24,22061.952796093377,0.0,54110.41106814635,
2023-07-25,21904.40614702161,0.0,57522.86717427977,
2023-07-26,21728.39437158352,0.0,56502.483467314174,
2023-07-27,21536.695311600874,0.0,57454.46645888638,
2023-07-28,20993.795811664597,0.0,54578.909870416974,
2023-07-29,20769.937870505943,0.0,55875.10631179127,
2023-07-30,20823.579062662426,0.0,53836.296500516306,
2023-07-31,20603.81204339866,0.0,50760.290861261405,
2023-08-01,20380.615927054278,0.0,54999.33431171934,
2023-08-02,20155.36510151556,0.0,55364.61233974135,
2023-08-03,19929.14915331011,0.0,53970.346760513065,
2023-08-04,19364.61331225593,0.0,53233.15347047752,
2023-08-05,19130.077488030514,0.0,52743.30702502084,
2023-08-06,19182.06847027293,0.0,53600.37777383171,
2023-08-07,18967.80778941918,0.0,51458.92465080816,
2023-08-08,18755.525865652402,0.0,51961.4603348442,
2023-08-09,18545.02606646454,0.0,49068.758098039725,
2023-08-10,18336.050685412454,0.0,50507.10018693879,
2023-08-11,17790.15692031501,0.0,49321.603750126626,
2023-08-12,17574.85996333607,0.0,53489.602754522304,
2023-08-13,17646.17721336882,0.0,52401.8370912418,
2023-08-14,17451.115959972678,0.0,51033.190199246914,
2023-08-15,17257.97543326275,0.0,48469.11837067431,
2023-08-16,17066.887510099747,0.0,48418.81601137746,
2023-08-17,16878.149137194298,0.0,50971.91581633145,
2023-08-18,16354.055938485319,0.0,48604.88576492996,
2023-08-19,16162.995801646106,0.0,47509.9591831764,
2023-08-20,16261.938372510886,0.0,50023.01952980167,
2023-08-21,16098.86489625201,0.0,49399.630160788045,
2023-08-22,15943.01149019497,0.0,47694.76071732224,
2023-08-23,15795.352356497944,0.0,48553.84978389079,
2023-08-24,15656.87816629214,0.0,49222.16504143637,
2023-08-25,15190.381133722189,0.0,47616.59085662956,
