date,variant,perc
2022-07-18,Omicron,0.992682240360259
2022-07-18,Other,0.005629045876723895
2022-08-01,Alpha,0.0012048192771084338
2022-08-01,Delta,0.0
2022-08-01,Omicron,0.9915662650602409
2022-08-01,Other,0.006024096385542169
2022-08-15,Alpha,0.0
2022-08-15,Delta,0.0
2022-08-15,Omicron,0.9945321992709599
2022-08-15,Other,0.0054678007290400975
2022-08-29,Alpha,0.0
2022-08-29,Delta,0.0
2022-08-29,Omicron,0.9977595220313666
2022-08-29,Other,0.0022404779686333084
2022-09-12,Alpha,0.0
2022-09-12,Delta,0.0
2022-09-12,Omicron,0.9948109710896961
2022-09-12,Other,0.005189028910303929
2022-09-26,Alpha,0.00065359477124183
2022-09-26,Delta,0.004575163398692811
2022-09-26,Omicron,0.9921568627450981
2022-09-26,Other,0.00261437908496732
2022-10-10,Alpha,0.0
2022-10-10,Delta,0.0
2022-10-10,Omicron,0.9958715596330275
2022-10-10,Other,0.004128440366972477
2022-10-24,Alpha,0.0
2022-10-24,Delta,0.0
2022-10-24,Omicron,0.9972972972972973
2022-10-24,Other,0.002702702702702703
2022-11-07,Alpha,0.0
2022-11-07,Delta,0.0004675081813931744
2022-11-07,Omicron,0.9976624590930341
2022-11-07,Other,0.0018700327255726976
2022-11-21,Alpha,0.0
2022-11-21,Delta,0.0
2022-11-21,Omicron,0.9990319457889641
2022-11-21,Other,0.000968054211035818
2022-12-05,Alpha,0.010744720266765468
2022-12-05,Delta,0.0955909596146721
2022-12-05,Omicron,0.890329751759911
2022-12-05,Other,0.0033345683586513525
2022-12-19,Alpha,0.0
2022-12-19,Delta,0.0
2022-12-19,Omicron,0.9940572663425176
2022-12-19,Other,0.005942733657482442
2023-01-02,Alpha,0.0
2023-01-02,Delta,0.0
2023-01-02,Omicron,0.9961046188091264
2023-01-02,Other,0.0038953811908736783
2023-01-16,Alpha,0.0
2023-01-16,Delta,0.0
2023-01-16,Omicron,0.994768962510898
2023-01-16,Other,0.0052310374891020054
2023-01-30,Alpha,0.0
2023-01-30,Delta,0.0
2023-01-30,Omicron,0.9824098504837291
2023-01-30,Other,0.01759014951627089
2023-02-13,Alpha,0.0
2023-02-13,Delta,0.0
2023-02-13,Omicron,0.9849765258215962
2023-02-13,Other,0.015023474178403756
2023-02-27,Alpha,0.0
2023-02-27,Delta,0.0
2023-02-27,Omicron,0.985973597359736
2023-02-27,Other,0.014026402640264026
2023-03-13,Alpha,0.0
2023-03-13,Delta,0.0
2023-03-13,Omicron,0.9840891010342084
2023-03-13,Other,0.015910898965791568
2023-03-27,Alpha,0.0
2023-03-27,Delta,0.0
2023-03-27,Omicron,0.9847908745247148
2023-03-27,Other,0.015209125475285171
2023-04-10,Alpha,0.0
2023-04-10,Delta,0.0
2023-04-10,Omicron,0.9908831908831909
2023-04-10,Other,0.009116809116809116
2023-04-24,Alpha,0.0
2023-04-24,Delta,0.0
2023-04-24,Omicron,0.9915745129015271
2023-04-24,Other,0.00842548709847288
2023-05-08,Alpha,0.0
2023-05-08,Delta,0.0
2023-05-08,Omicron,0.9948036951501155
2023-05-08,Other,0.005196304849884526
2023-05-22,Alpha,0.0
2023-05-22,Delta,0.0
2023-05-22,Omicron,0.9967824967824968
2023-05-22,Other,0.0032175032175032173
2023-06-05,Alpha,0.0
2023-06-05,Delta,0.0
2023-06-05,Omicron,0.9948822927328557
2023-06-05,Other,0.00511770726714432
2023-06-19,Alpha,0.0
2023-06-19,Delta,0.0
2023-06-19,Omicron,0.9926793557833089
2023-06-19,Other,0.007320644216691069
2023-07-03,Alpha,0.0
2023-07-03,Delta,0.0
2023-07-03,Omicron,0.9942196531791907
2023-07-03,Other,0.005780346820809248
2023-07-17,Alpha,0.0
2023-07-17,Delta,0.0
2023-07-17,Omicron,0.979631425800194
2023-07-17,Other,0.020368574199806012
2023-07-31,Alpha,0.0
2023-07-31,Delta,0.0
2023-07-31,Omicron,0.9732402559627691
2023-07-31,Other,0.02675974403723095
2023-08-14,Alpha,0.0
2023-08-14,Delta,0.0
2023-08-14,Omicron,0.9818288393903869
2023-08-14,Other,0.01817116060961313
2023-08-28,Alpha,0.0
2023-08-28,Delta,0.0
2023-08-28,Omicron,0.9771190847633905
2023-08-28,Other,0.02236089443577743
2023-09-11,Alpha,0.0
2023-09-11,Delta,0.0
2023-09-11,Omicron,0.969263381028087
2023-09-11,Other,0.03073661897191309
2023-09-25,Alpha,0.0
2023-09-25,Delta,0.0
2023-09-25,Omicron,0.9724501758499414
2023-09-25,Other,0.027549824150058615
2023-10-09,Alpha,0.0
2023-10-09,Delta,0.0
2023-10-09,Omicron,0.9638888888888889
2023-10-09,Other,0.03611111111111111
2023-10-23,Alpha,0.0
2023-10-23,Delta,0.0
2023-10-23,Omicron,0.9580674567000912
2023-10-23,Other,0.041932543299908843
2023-11-06,Alpha,0.0
2023-11-06,Delta,0.0
2023-11-06,Omicron,0.9671957671957672
2023-11-06,Other,0.0328042328042328
2023-11-20,Alpha,0.0
2023-11-20,Delta,0.0
2023-11-20,Omicron,0.9711090400745573
2023-11-20,Other,0.028890959925442685
2023-12-04,Alpha,0.0
2023-12-04,Delta,0.0
2023-12-04,Omicron,0.9691313711414213
2023-12-04,Other,0.030868628858578606
2023-12-18,Alpha,0.0
2023-12-18,Delta,0.0
2023-12-18,Omicron,0.964940668824164
2023-12-18,Other,0.03505933117583603
2024-01-01,Alpha,0.0
2024-01-01,Delta,0.0
2024-01-01,Omicron,0.9704406023424428
2024-01-01,Other,0.029559397657557166
2024-01-15,Alpha,0.0
2024-01-15,Delta,0.0
2024-01-15,Omicron,0.9544554455445544
2024-01-15,Other,0.04554455445544554
2024-01-29,Alpha,0.0
2024-01-29,Delta,0.0
2024-01-29,Omicron,0.9514563106796117
2024-01-29,Other,0.04854368932038835
2024-02-12,Alpha,0.0
2024-02-12,Delta,0.0
2024-02-12,Omicron,0.9329608938547486
2024-02-12,Other,0.0670391061452514
2024-02-26,Alpha,0.0
2024-02-26,Delta,0.0
2024-02-26,Omicron,0.8909952606635071
2024-02-26,Other,0.10900473933649289
2024-03-11,Alpha,0.0
2024-03-11,Delta,0.0
2024-03-11,Omicron,0.9248826291079812
2024-03-11,Other,0.07511737089201878
2024-03-25,Alpha,0.0
2024-03-25,Delta,0.0
2024-03-25,Omicron,0.9244186046511628
2024-03-25,Other,0.0755813953488372
2024-04-08,Alpha,0.0
2024-04-08,Delta,0.0
2024-04-08,Omicron,0.9099099099099099
2024-04-08,Other,0.09009009009009009
2024-04-22,Alpha,0.0
2024-04-22,Delta,0.0
2024-04-22,Omicron,0.9100817438692098
2024-04-22,Other,0.08991825613079019
2024-05-06,Alpha,0.0
2024-05-06,Delta,0.0
2024-05-06,Omicron,0.9343915343915344
2024-05-06,Other,0.0656084656084656
2024-05-20,Alpha,0.0
2024-05-20,Delta,0.0
2024-05-20,Omicron,0.942433234421365
2024-05-20,Other,0.057566765578635014
2024-06-03,Alpha,0.0
2024-06-03,Delta,0.0
2024-06-03,Omicron,0.9627029398859148
2024-06-03,Other,0.03729706011408512
2024-06-17,Alpha,0.0
2024-06-17,Delta,0.0
2024-06-17,Omicron,0.9748533109807209
2024-06-17,Other,0.025146689019279127
2024-07-01,Alpha,0.0
2024-07-01,Delta,0.0
2024-07-01,Omicron,0.9830287206266318
2024-07-01,Other,0.016971279373368148
2024-07-15,Alpha,0.0
2024-07-15,Delta,0.0
2024-07-15,Omicron,0.9852941176470589
2024-07-15,Other,0.014705882352941176
2024-07-29,Alpha,0.0
2024-07-29,Delta,0.0
2024-07-29,Omicron,0.9910277324632952
2024-07-29,Other,0.00897226753670473
2024-08-12,Alpha,0.0
2024-08-12,Delta,0.0
2024-08-12,Omicron,0.9932249322493225
2024-08-12,Other,0.006775067750677507
2024-08-26,Alpha,0.0
2024-08-26,Delta,0.0
2024-08-26,Omicron,0.9916201117318436
2024-08-26,Other,0.008379888268156424
2024-09-09,Alpha,0.0
2024-09-09,Delta,0.0
2024-09-09,Omicron,0.9718045112781954
2024-09-09,Other,0.02819548872180451
2024-09-23,Alpha,0.0
2024-09-23,Delta,0.0
2024-09-23,Omicron,0.9732142857142857
2024-09-23,Other,0.026785714285714284
2024-10-07,Alpha,0.0
2024-10-07,Delta,0.0
2024-10-07,Omicron,0.9666048237476809
2024-10-07,Other,0.03339517625231911
2024-10-21,Alpha,0.0
2024-10-21,Delta,0.0
2024-10-21,Omicron,0.968944099378882
2024-10-21,Other,0.031055900621118012
2024-11-04,Alpha,0.0
2024-11-04,Delta,0.0
2024-11-04,Omicron,0.9669811320754716
2024-11-04,Other,0.0330188679245283
2024-11-18,Alpha,0.0
2024-11-18,Delta,0.0
2024-11-18,Omicron,0.9811320754716981
2024-11-18,Other,0.018867924528301886
2024-12-02,Alpha,0.0
2024-12-02,Delta,0.0
2024-12-02,Omicron,0.9420289855072463
2024-12-02,Other,0.057971014492753624
2024-12-16,Alpha,0.0
2024-12-16,Delta,0.0
2024-12-16,Omicron,0.9739583333333334
2024-12-16,Other,0.026041666666666668
2024-12-30,Alpha,0.0
2024-12-30,Delta,0.0
2024-12-30,Omicron,0.9356060606060606
2024-12-30,Other,0.06439393939393939
2025-01-13,Alpha,0.0
2025-01-13,Delta,0.0
2025-01-13,Omicron,0.9669811320754716
2025-01-13,Other,0.0330188679245283
2025-01-27,Alpha,0.0
2025-01-27,Delta,0.0
2025-01-27,Omicron,0.9387755102040817
2025-01-27,Other,0.061224489795918366
2025-02-10,Alpha,0.0
2025-02-10,Delta,0.0
2025-02-10,Omicron,0.9672131147540983
2025-02-10,Other,0.03278688524590164
2025-02-24,Alpha,0.0
2025-02-24,Delta,0.0
2025-02-24,Omicron,0.9320388349514563
2025-02-24,Other,0.06796116504854369
2025-03-10,Alpha,0.0
2025-03-10,Delta,0.0
2025-03-10,Omicron,0.9428571428571428
2025-03-10,Other,0.05714285714285714
2025-03-24,Alpha,0.0
2025-03-24,Delta,0.0
2025-03-24,Omicron,0.9302325581395349
2025-03-24,Other,0.06976744186046512
2025-04-07,Alpha,0.0
2025-04-07,Delta,0.0
2025-04-07,Omicron,0.9436619718309859
2025-04-07,Other,0.056338028169014086
2025-04-21,Alpha,0.0
2025-04-21,Delta,0.0
2025-04-21,Omicron,0.9393939393939394
2025-04-21,Other,0.06060606060606061
2025-05-05,Alpha,0.0
2025-05-05,Delta,0.0
2025-05-05,Omicron,0.9260700389105059
2025-05-05,Other,0.07392996108949416
2025-05-19,Alpha,0.0
2025-05-19,Delta,0.0
2025-05-19,Omicron,0.95703125
2025-05-19,Other,0.04296875
2025-06-02,Alpha,0.0
2025-06-02,Delta,0.0
2025-06-02,Omicron,1.0
2025-06-02,Other,0.0
