DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,HU,2021,3578832,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,HU,2022,5373367,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,HU,2023,5309806,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,HU,2024,5602129,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IE,2019,8203592,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IE,2020,2955000,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IE,2021,2039000,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IE,2022,5184000,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IE,2023,5917000,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IE,2024,6658000,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IS,2019,378013,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IS,2020,482650,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IS,2021,694640,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IS,2022,796044,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IS,2023,834311,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IT,2019,50421984,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IT,2020,28021318,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IT,2021,37612304,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IT,2022,46766343,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IT,2023,48183066,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,IT,2024,47500214,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,LI,2019,1035,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,LI,2020,1147,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,LI,2021,2016,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,LI,2022,1292,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,LI,2023,1933,,
